"","GAGEID","Year","Month","Day","Q(ft3/s)","QC_flag","dayl(s)","prcp(mm/day)","srad(W/m2)","swe(mm)","tmax(C)","tmin(C)","vp(Pa)"
"1",5503800,1980,1,1,0,"A",33177.6,0,181.6,0,4.25,-3,480
"2",5503800,1980,1,2,0,"A",33309.87,0,115.21,0,0.75,-3.44,480
"3",5503800,1980,1,3,0,"A",33523.21,0,75.72,0,-0.8,-3.39,479.86
"4",5503800,1980,1,4,0,"A",33523.21,0,158.95,0,0.95,-5,440
"5",5503800,1980,1,5,0,"A",33523.21,1,125.58,0,1.07,-3.46,480
"6",5503800,1980,1,6,0,"A",33523.21,0,159.48,0,3.17,-2.82,494.7
"7",5503800,1980,1,7,0,"A",33523.21,0.03,265.65,0,1.91,-12.45,240
"8",5503800,1980,1,8,0,"A",33523.21,0,210.52,0,-4.32,-12.57,240
"9",5503800,1980,1,9,0,"A",33868.8,0,218.38,0,-5.13,-13.78,200.94
"10",5503800,1980,1,10,0,"A",33868.8,0,281.88,0,10.66,-9.86,280
"11",5503800,1980,1,11,0,"A",33868.8,0,279.21,0,12.43,-6.21,382.99
"12",5503800,1980,1,12,0,"A",33868.8,0,264.17,0,1.33,-11.36,253.9
"13",5503800,1980,1,13,0,"A",33868.8,0,221.65,0,5.02,-3.81,455.2
"14",5503800,1980,1,14,0,"A",34214.4,0,280.54,0,10.21,-6,400
"15",5503800,1980,1,15,0,"A",34214.4,0,222.71,0,11,1.91,712.88
"16",5503800,1980,1,16,0,"A",34214.4,8.62,156.07,0,12.25,4.06,804.89
"17",5503800,1980,1,17,0,"A",34214.4,0,199.25,0,6.79,-0.58,593.93
"18",5503800,1980,1,18,0,"A",34560.01,0,239.22,0,3.43,-6,399.73
"19",5503800,1980,1,19,0,"A",34560.01,5.44,105.71,0,0.67,-4,440
"20",5503800,1980,1,20,0,"A",34560.01,6.55,120.37,0,0.94,-4.41,440.04
"21",5503800,1980,1,21,0,"A",34582.55,0,178.58,0,1.5,-4.5,440
"22",5503800,1980,1,22,0.16,"A",34905.6,0.03,145.86,0,1.74,-2.97,482.8
"23",5503800,1980,1,23,0.2,"A",34905.6,0,255.2,0,-0.1,-9.78,280
"24",5503800,1980,1,24,0.16,"A",34905.6,0,295.12,0,7.5,-6.61,360
"25",5503800,1980,1,25,0.16,"A",35251.2,0,247.57,0,7.22,-2.04,520
"26",5503800,1980,1,26,0.16,"A",35251.2,0,265.52,0,2.07,-7.94,329.5
"27",5503800,1980,1,27,0.16,"A",35251.2,1,218.99,0,-6.1,-12.35,240
"28",5503800,1980,1,28,0.16,"A",35596.8,0,184.87,0,-6.96,-12.02,240
"29",5503800,1980,1,29,0.12,"A",35596.8,0,258.94,0,-5.96,-13.56,202.83
"30",5503800,1980,1,30,0.12,"A",35596.8,5.46,132.02,0,-6.84,-11.5,240
"31",5503800,1980,1,31,0.16,"A",35942.4,2.31,303.5,0,-9.36,-21.88,120
"32",5503800,1980,2,1,0.16,"A",35942.4,0,364.05,0,-8.05,-23,80
"33",5503800,1980,2,2,0.16,"A",35942.4,0,326.2,0,-4,-15.23,200
"34",5503800,1980,2,3,0.16,"A",36288,0,294.03,0,-3.27,-12.58,240
"35",5503800,1980,2,4,0.12,"A",36288,0,344.14,0,-2.5,-15.09,200
"36",5503800,1980,2,5,0.1,"A",36288,4,200.2,0,0.5,-7.65,347.62
"37",5503800,1980,2,6,0.16,"A",36633.6,0,232.37,0,-1.2,-7.78,337.41
"38",5503800,1980,2,7,0.16,"A",36633.6,0,261.02,0,-1.75,-9.25,300.05
"39",5503800,1980,2,8,0.16,"A",36903.25,4,152.8,0,-2,-7.47,360
"40",5503800,1980,2,9,0.16,"A",36979.21,3.59,193.5,0,-2.5,-9.31,295.8
"41",5503800,1980,2,10,0.16,"A",36979.21,0,384.04,0,-3.89,-16.87,160
"42",5503800,1980,2,11,0.16,"A",37324.81,0,291.5,0,-4,-11.5,240
"43",5503800,1980,2,12,0.16,"A",37324.81,0,396.71,0,-4,-17.49,160
"44",5503800,1980,2,13,0.16,"A",37457.07,0,404.42,0,2.6,-11.72,240
"45",5503800,1980,2,14,0.16,"A",37670.41,0,228.5,0,3.81,-1.68,545.48
"46",5503800,1980,2,15,0.32,"A",37670.41,7.34,220.48,0,1.76,-5.55,401.55
"47",5503800,1980,2,16,0.36,"A",38016.02,2.73,319.99,0,-4.53,-16,160.38
"48",5503800,1980,2,17,0.36,"A",38016.02,0,400.8,0,-4.5,-16.57,160
"49",5503800,1980,2,18,0.32,"A",38361.6,0,428.91,0,2.48,-13.04,235.84
"50",5503800,1980,2,19,0.56,"A",38361.6,0,308.74,0,6,-2.01,520
"51",5503800,1980,2,20,0.48,"A",38361.6,0,227.04,0,6.48,1,640
"52",5503800,1980,2,21,9,"A",38707.19,1,256.79,0,8.86,2.5,720
"53",5503800,1980,2,22,21,"A",38707.19,0.81,238.24,0,7.97,2.27,720
"54",5503800,1980,2,23,46,"A",39052.79,0,213.95,0,5.86,1.02,641.83
"55",5503800,1980,2,24,18,"A",39052.79,0,389.13,0,7,-3.71,463.15
"56",5503800,1980,2,25,8.6,"A",39398.41,0.76,443.65,0,6.46,-8.35,320
"57",5503800,1980,2,26,6,"A",39398.41,0,445.05,0,0.33,-13.96,200
"58",5503800,1980,2,27,4.7,"A",39420.97,0,379.45,0,5.15,-5,437.92
"59",5503800,1980,2,28,3.6,"A",39744,0,291.14,0,4.68,-2.2,520
"60",5503800,1980,2,29,2,"A",39744,0,406.79,0,-0.25,-11.38,251.92
"61",5503800,1980,3,1,1.7,"A",40089.6,7.19,241.45,0,-5.93,-13.34,212.59
"62",5503800,1980,3,2,1,"A",40089.6,0,477.11,0,-3.99,-19.49,120
"63",5503800,1980,3,3,0.72,"A",40435.19,0,473.16,0,3.5,-11.81,240
