"","GAGEID","Year","Month","Day","Q(ft3/s)","QC_flag","dayl(s)","prcp(mm/day)","srad(W/m2)","swe(mm)","tmax(C)","tmin(C)","vp(Pa)"
"1",11299600,1983,8,24,0.2,"A",47347.2,0,440.78,0,27.4,11.53,488.96
"2",11299600,1983,8,25,0.19,"A",47001.6,0,414.45,0,27.45,12.88,543.6
"3",11299600,1983,8,26,0.15,"A",47001.6,0,457.22,0,27.78,10.96,480
"4",11299600,1983,8,27,0.13,"A",47001.6,0,465.71,0,29.84,12.25,520.04
"5",11299600,1983,8,28,0.11,"A",46656,0,461.52,0,31.25,13.74,579.3
"6",11299600,1983,8,29,0.16,"A",46656,0,468.67,0,30.15,12.23,520
"7",11299600,1983,8,30,0.1,"A",46310.39,0,452.38,0,29.39,12.5,520.04
"8",11299600,1983,8,31,0.11,"A",46310.39,3.99,296.77,0,28.52,14.6,613.19
"9",11299600,1983,9,1,0.58,"A",45964.8,13.17,255.79,0,24.93,13.62,571.07
"10",11299600,1983,9,2,0.42,"A",45964.8,0,407.17,0,26.94,12.82,545.87
"11",11299600,1983,9,3,0.22,"A",45964.8,0,455.39,0,29.25,12.38,520.5
"12",11299600,1983,9,4,0.19,"A",45619.2,0,453.78,0,31.23,14.27,601.61
"13",11299600,1983,9,5,0.16,"A",45619.2,0,490.84,0,36.2,15.79,664.86
"14",11299600,1983,9,6,0.13,"A",45273.61,0,485.68,0,35.49,15.42,645.02
"15",11299600,1983,9,7,0.11,"A",45273.61,0,477.62,0,33.46,14.1,600
"16",11299600,1983,9,8,0.1,"A",44928,0,466.21,0,29.69,11.5,480
"17",11299600,1983,9,9,0.09,"A",44928,0,469.82,0,28.59,10,440
"18",11299600,1983,9,10,0.08,"A",44928,0,482.11,0,31.12,11.06,480
"19",11299600,1983,9,11,0.08,"A",44582.41,0,483.23,0,34.35,13.52,572.05
"20",11299600,1983,9,12,0.07,"A",44582.41,0,485.68,0,36.9,15.13,638.48
"21",11299600,1983,9,13,0.06,"A",44236.8,0,466.69,0,37.67,17.22,737.84
"22",11299600,1983,9,14,0.04,"A",44236.8,0,478.8,0,37.17,15.28,640
"23",11299600,1983,9,15,0.02,"A",43891.19,0,466.96,0,36.84,15.84,666.98
"24",11299600,1983,9,16,0,"A",43891.19,0,462.79,0,36.3,15.55,652.24
"25",11299600,1983,9,17,0,"A",43891.19,0,454.74,0,34.26,14.2,599.69
"26",11299600,1983,9,18,0,"A",43545.6,0,451.98,0,33.36,13.21,560
"27",11299600,1983,9,19,0,"A",43545.6,0,445.57,0,32.63,12.64,531.47
"28",11299600,1983,9,20,0,"A",43200,0,432.22,0,32.65,13.42,560
"29",11299600,1983,9,21,0,"A",43200,0,384.36,0,32.59,16.34,698.45
