"","GAGEID","Year","Month","Day","Q(ft3/s)","QC_flag","dayl(s)","prcp(mm/day)","srad(W/m2)","swe(mm)","tmax(C)","tmin(C)","vp(Pa)"
"1",14158500,1980,1,1,347,"A",31449.6,20.3,49.96,0,3.3,0.44,625.37
"2",14158500,1980,1,2,337,"A",31449.6,7.08,111.02,0,5.16,-1.8,539.09
"3",14158500,1980,1,3,331,"A",31449.6,9.36,91.86,0,4.09,-1.37,554.1
"4",14158500,1980,1,4,331,"A",31449.6,22.7,69.07,0,4.48,0.5,627.05
"5",14158500,1980,1,5,368,"A",31651.21,28.78,101.51,0,4.35,-1.7,543.34
"6",14158500,1980,1,6,360,"A",31795.2,0,182.96,0,2.6,-6.45,379
"7",14158500,1980,1,7,366,"A",31795.2,15.71,163.91,0,0.41,-10.1,283.94
"8",14158500,1980,1,8,385,"A",31795.2,20.3,90.22,0,-0.79,-5.36,417.28
"9",14158500,1980,1,9,396,"A",31795.2,30.05,65.59,0,0.93,-2.32,514.43
"10",14158500,1980,1,10,402,"A",32140.81,23.39,135.64,0,-0.8,-7.97,335.14
"11",14158500,1980,1,11,405,"A",32140.81,28.97,179.27,0,0.94,-10.15,282.85
"12",14158500,1980,1,12,596,"A",32140.81,70.1,206.39,0,5.82,-8.59,321.74
"13",14158500,1980,1,13,1310,"A",32140.81,59.99,121.82,0,5.35,-0.42,593.63
"14",14158500,1980,1,14,1640,"A",32486.4,34.16,97.7,0,4.37,-0.07,606.22
"15",14158500,1980,1,15,1300,"A",32486.4,13,170.86,0,2.79,-5.85,398.06
"16",14158500,1980,1,16,1000,"A",32486.4,8.33,76.63,0,2.2,-1.11,562.22
"17",14158500,1980,1,17,973,"A",32688.01,7.42,76.85,0,0.8,-2.48,511.12
"18",14158500,1980,1,18,937,"A",32832.01,0,276.64,0,1.99,-10.06,284.41
"19",14158500,1980,1,19,910,"A",32832.01,0,193.9,0,-2.53,-8.97,305.85
"20",14158500,1980,1,20,875,"A",32837.78,0,300.42,0,6.7,-8.75,309.62
"21",14158500,1980,1,21,838,"A",33177.6,0,261.01,0,6.24,-3.82,452.68
"22",14158500,1980,1,22,797,"A",33177.6,0,293.21,0,7.86,-5.4,415.23
"23",14158500,1980,1,23,753,"A",33379.2,0,298.65,0,9.44,-4.35,439.36
"24",14158500,1980,1,24,714,"A",33523.2,0,273.41,0,8.58,-2.05,523.72
"25",14158500,1980,1,25,679,"A",33523.2,0,256.8,0,4.27,-4.81,433.93
"26",14158500,1980,1,26,637,"A",33868.8,9.02,228.22,0,-0.71,-12.95,229.17
"27",14158500,1980,1,27,589,"A",33868.8,8.23,166.7,0,-11.14,-17.87,148.9
"28",14158500,1980,1,28,543,"A",33868.8,0,271.14,0,-11.21,-20.04,121.42
"29",14158500,1980,1,29,504,"A",34214.4,0,314.82,0,-8.57,-20.18,120.34
"30",14158500,1980,1,30,479,"A",34214.4,0,321.16,0,-4.8,-16.89,160
"31",14158500,1980,1,31,464,"A",34560,0,324.17,0,1.7,-10.97,275.39
"32",14158500,1980,2,1,461,"A",34560,19.1,162.15,0,3.74,-2.77,497.29
"33",14158500,1980,2,2,449,"A",34560,16.81,78.45,0,4.36,1.5,679.95
"34",14158500,1980,2,3,449,"A",34905.59,17.44,106.06,0,4.54,0.62,632.39
"35",14158500,1980,2,4,446,"A",34905.59,2.75,208.09,0,5.2,-2.67,502.65
"36",14158500,1980,2,5,446,"A",35251.21,5.18,187.05,0,6.86,-0.64,588.65
"37",14158500,1980,2,6,461,"A",35251.21,21.45,167.36,0,5.31,-0.95,574.67
"38",14158500,1980,2,7,461,"A",35596.8,5.31,213.86,0,4.75,-3.88,459.3
"39",14158500,1980,2,8,461,"A",35596.8,0,238.24,0,3.37,-3.38,470.62
"40",14158500,1980,2,9,461,"A",35942.4,0,357.39,0,9.35,-4.64,431.2
"41",14158500,1980,2,10,461,"A",35942.4,0,362.17,0,10.37,-3.97,458.12
"42",14158500,1980,2,11,458,"A",36144,0,349.02,0,7.38,-4.75,429.44
"43",14158500,1980,2,12,452,"A",36287.99,0,382.11,0,7.55,-8.4,324.63
"44",14158500,1980,2,13,446,"A",36293.75,0,342.18,0,7.44,-4.24,440.12
"45",14158500,1980,2,14,437,"A",36633.61,0,365.45,0,6.2,-6.95,362.64
"46",14158500,1980,2,15,428,"A",36633.61,0,319.51,0,2.02,-7.92,337.18
"47",14158500,1980,2,16,416,"A",36979.2,0,381.45,0,9.13,-5.87,398.16
