"","GAGEID","Year","Month","Day","Q(ft3/s)","QC_flag","dayl(s)","prcp(mm/day)","srad(W/m2)","swe(mm)","tmax(C)","tmin(C)","vp(Pa)"
"1",12114500,1980,1,1,107,"A",30067.21,12.51,51.6,0,2.43,-0.68,581.61
"2",12114500,1980,1,2,96,"A",30067.21,10.12,60.15,0,1.67,-1.93,531.98
"3",12114500,1980,1,3,88,"A",30067.21,0.87,100,0,0.66,-3.97,450.38
"4",12114500,1980,1,4,82,"A",30069.32,8.45,65.01,0,-0.79,-4.54,437.78
"5",12114500,1980,1,5,78,"A",30412.8,15.74,101.3,0,-1.26,-6.81,368.08
"6",12114500,1980,1,6,73,"A",30412.8,0,144.25,0,-4.82,-10.93,269.18
"7",12114500,1980,1,7,70,"A",30412.8,3.45,92.61,0,-7.07,-11.59,251.33
"8",12114500,1980,1,8,67,"A",30412.8,12.47,56.82,0,-8.41,-11.11,263.9
"9",12114500,1980,1,9,65,"A",30758.39,11.82,68.03,0,-9.41,-12.59,232.48
"10",12114500,1980,1,10,64,"A",30758.39,11.56,125.03,0,-5.65,-12.2,239.63
"11",12114500,1980,1,11,63,"A",30758.39,12.57,92.09,0,-4.56,-9.01,306.18
"12",12114500,1980,1,12,111,"A",30760.51,36.55,162.96,0,4.52,-6.74,368.21
"13",12114500,1980,1,13,98,"A",31104,16.23,128.29,0,1.88,-4.53,436.31
"14",12114500,1980,1,14,88,"A",31104,14.03,53.46,0,-0.09,-2.38,514.92
"15",12114500,1980,1,15,83,"A",31104,8.88,80.48,0,-0.36,-3.96,453.71
"16",12114500,1980,1,16,83,"A",31449.6,22.13,77.11,0,0.85,-2.5,510.86
"17",12114500,1980,1,17,80,"A",31449.6,14.78,120.46,0,-0.41,-5.84,400.06
"18",12114500,1980,1,18,75,"A",31449.6,0,165.83,0,-4.4,-10.18,280.09
"19",12114500,1980,1,19,71,"A",31795.2,0,174.6,0,-3.55,-9.77,280.91
"20",12114500,1980,1,20,67,"A",31795.2,0,231.42,0,2.57,-7.32,352.75
"21",12114500,1980,1,21,63,"A",31797.31,0,194.47,0,1.3,-5.46,412.94
"22",12114500,1980,1,22,61,"A",32140.8,0,209.51,0,2.7,-4.98,430.08
"23",12114500,1980,1,23,59,"A",32140.8,0,249.41,0,6.81,-4.93,433.73
"24",12114500,1980,1,24,57,"A",32486.4,0,234.25,0,5.81,-3.33,479.16
"25",12114500,1980,1,25,52,"A",32486.4,3.16,176.7,0,0.44,-7.1,360.29
"26",12114500,1980,1,26,47,"A",32706.04,0,217.38,0,-7,-14.09,208.72
"27",12114500,1980,1,27,42,"A",32832,0,182.94,0,-11.47,-17.17,160
"28",12114500,1980,1,28,37,"A",32832,0,193.39,0,-11.61,-17.63,160
"29",12114500,1980,1,29,34,"A",33177.61,0,245.6,0,-9.96,-18.41,150.22
"30",12114500,1980,1,30,33,"A",33177.61,0,227.17,0,-8.77,-16.04,173.64
"31",12114500,1980,1,31,37,"A",33523.2,7.62,144.22,0,-6.32,-11.77,248.06
"32",12114500,1980,2,1,54,"A",33523.2,17.73,203.05,0,1.77,-8.12,329.56
"33",12114500,1980,2,2,88,"A",33868.8,23.24,193.77,0,2.88,-5.61,405.54
"34",12114500,1980,2,3,121,"A",33868.8,18.92,131.26,0,3.59,-1.29,557.71
"35",12114500,1980,2,4,118,"A",34214.4,13.56,145.09,0,2.97,-2.48,511.26
"36",12114500,1980,2,5,107,"A",34214.4,0.79,181.78,0,2.37,-2.67,500.96
"37",12114500,1980,2,6,123,"A",34560,17.55,129.11,0,2.39,-2.13,525.21
"38",12114500,1980,2,7,134,"A",34560,12.65,103.69,0,2.08,-1.56,545.7
