"","GAGEID","Year","Month","Day","Q(ft3/s)","QC_flag","dayl(s)","prcp(mm/day)","srad(W/m2)","swe(mm)","tmax(C)","tmin(C)","vp(Pa)"
"1",2472000,1980,1,1,823,"A",35835.35,0,256.9,0,9.78,0.2,618.19
"2",2472000,1980,1,2,766,"A",35908.24,0,343.33,0,14.5,-3.4,480
"3",2472000,1980,1,3,700,"A",35942.4,0,331.47,0,15.2,-0.69,584.8
"4",2472000,1980,1,4,766,"A",35942.4,8.75,223.57,0,13.24,0.97,644.47
"5",2472000,1980,1,5,854,"A",35942.4,0,280.14,0,6.21,-4.3,440.48
"6",2472000,1980,1,6,811,"A",35942.4,0,335.87,0,10.98,-4.45,440
"7",2472000,1980,1,7,770,"A",35942.4,1.19,272.27,0,16.39,4.08,820
"8",2472000,1980,1,8,703,"A",35992.46,0.75,274.41,0,15.7,4.2,828.42
"9",2472000,1980,1,9,744,"A",36101.04,8.47,111.27,0,10.42,5.49,908.47
"10",2472000,1980,1,10,792,"A",36219.93,0,246.16,0,14.78,5.8,923.04
"11",2472000,1980,1,11,3970,"A",36287.97,54.85,181.85,0,20.29,11.08,1326.76
"12",2472000,1980,1,12,7650,"A",36287.97,0,336.25,0,19.41,3.48,785.19
"13",2472000,1980,1,13,9140,"A",36287.97,0,283.39,0,13.55,2.9,752.67
"14",2472000,1980,1,14,9670,"A",36294.22,0,251.62,0,15.17,6.12,943.96
"15",2472000,1980,1,15,4160,"A",36369.71,0,319.36,0,17.47,4.15,823.48
"16",2472000,1980,1,16,3120,"A",36526.54,2.5,264.33,0,18.5,7.72,1057.41
"17",2472000,1980,1,17,6510,"A",36633.59,32.42,79.5,0,15.91,12.44,1435.53
"18",2472000,1980,1,18,6270,"A",36633.59,3.96,95.09,0,16.51,12.5,1440.33
"19",2472000,1980,1,19,5610,"A",36633.59,0,347.85,0,19.28,3.45,782.78
"20",2472000,1980,1,20,3740,"A",36683.65,0,345.16,0,20.75,5.19,893.63
"21",2472000,1980,1,21,2400,"A",36872.14,0,280.78,0,19.33,8.95,1156.23
"22",2472000,1980,1,22,2570,"A",36979.2,13.82,178.73,0,17.08,8.95,1155.78
"23",2472000,1980,1,23,6820,"A",36979.2,39.88,252.24,0,13.5,0.46,629.29
"24",2472000,1980,1,24,7280,"A",36979.2,0,357.1,0,12.73,-1.91,527.1
"25",2472000,1980,1,25,9240,"A",37098.96,0,322.92,0,16.55,4.41,832.4
"26",2472000,1980,1,26,5410,"A",37318.96,10.84,110.18,0,15,10.43,1274.21
"27",2472000,1980,1,27,3580,"A",37324.8,4.04,160.37,0,12.94,6.63,970.9
"28",2472000,1980,1,28,2700,"A",37324.8,0,242.68,0,10.69,3.1,764.42
"29",2472000,1980,1,29,1960,"A",37406.52,0,246.96,0,10.48,2.8,747.53
"30",2472000,1980,1,30,1500,"A",37664.55,2.42,268.59,0,14.23,2.74,747.32
"31",2472000,1980,1,31,1600,"A",37670.39,10.17,302.24,0,18.53,-2.32,516.33
"32",2472000,1980,2,1,1520,"A",37670.39,0,291.04,0,2.22,-6.75,360.46
"33",2472000,1980,2,2,1520,"A",37790.16,0,354.21,0,4.28,-7.75,339.02
"34",2472000,1980,2,3,1240,"A",38016,0,372.06,0,8.52,-4.92,432.16
"35",2472000,1980,2,4,1050,"A",38016,0,331.86,0,10.52,-0.37,599.67
"36",2472000,1980,2,5,951,"A",38016,0,306.68,0,9.28,-0.09,600
"37",2472000,1980,2,6,1210,"A",38214.8,12.11,215.26,0,8.96,0.57,636.45
"38",2472000,1980,2,7,1410,"A",38361.63,0,404.92,0,10.7,-4.89,429.14
"39",2472000,1980,2,8,1430,"A",38361.63,0,343.07,0,9.56,-1.39,559.15
"40",2472000,1980,2,9,3990,"A",38411.7,40.36,198,0,10.23,2.62,735.52
"41",2472000,1980,2,10,10600,"A",38707.19,32.28,204.18,0,5.69,-1.92,532.25
"42",2472000,1980,2,11,12000,"A",38707.19,0,341.55,0,5.04,-5.02,438.49
"43",2472000,1980,2,12,12000,"A",38707.19,0,380.46,0,8.97,-3.25,482.36
"44",2472000,1980,2,13,5430,"A",38984.75,0,385.87,0,11.11,-1.59,544.72
"45",2472000,1980,2,14,2860,"A",39052.8,0,430.45,0,15.74,-1.58,550.52
"46",2472000,1980,2,15,2090,"A",39052.8,0,430.85,0,20.67,2.3,720
"47",2472000,1980,2,16,1520,"A",39211.43,1.63,410.1,0,20.47,2.08,712.13
"48",2472000,1980,2,17,1290,"A",39398.4,0,380.34,0,5.61,-6.84,363.37
"49",2472000,1980,2,18,1130,"A",39398.4,0,439.96,0,9.81,-7.49,351.18
